"ARTNR";"ARTIKEL1";"ARTIKEL2";"EK";"VK";"VKI";"ME";"EINGABE";"MWST";"ARTGRU";"SKOSTEN";"SPEICHER";"STUECK";"PREIS1";"FK5";"VKI1";"LANGTEXT";"FIBUKTO";"FELD1";"FELD2";"FELD3";"LIEFERANT";"ARTIKELART";"ZULIEFERER";"MATCHCODE";"TRAFFIC";"ONLINEART";"ANZAHLPOP";"ANZAHLEMAIL";"ANZAHLFTP";"ANZAHLSUBDOMAINS";"MYSQLDATABASE";"WILDCARDSUB";"FTPJA";"PHPJA";"CGIJA";"SSIJA";"STATIJA";"PWVERZJA";"FEHLERSEITENJA";"WEBFTPJA";"WEBMAILJA";"PHPUPLOAD";"WAP";"SHELLZUGRIFF";"DIRECTLIST";"AUTORESPONDER";"BESTAND";"FREIDOMS";"PROVFAEHIG";"PROVISION"
"FAHR";"Fahrtkosten";"";;0;0;"";"30.07.2004 14:59:32";19;"500";"";"";0;0;;0;"";"";"E";"N";"";"einmalig";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-7;;"";
"HO-SU";"Start-Up Hosting";"";;7,75;9,2225;"";"09.06.2004 13:21:15";19;"310";"";"";4;;;;"";"";"J";"N";"";"monatlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-55;;"";
"REG-INFO-1";".info Registierung 1jährig";"";7,8;11;13,09;"";"09.06.2004 13:24:03";19;"300";"";"";2;9,8966;;11,4801;"";"";"G";"N";"";"jährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-124;;"";
"DE-REG-V";"Verlängerung .de Domain";"";;6;7,14;"";"09.06.2004 13:20:30";19;"300";"";"";0;6;;6,96;"";"";"G";"N";"";"jährlich";"";"Host Europe GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-24;;"";
"REG-COUK2";"Registierung .co.uk 2jährig";"";;22,4;26,656;"";"09.06.2004 13:23:32";19;"300";"";"";0;;;;"";"";"Z";"N";"";"zweijährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-3;;"";
"REG-BIZ-1";".biz Registrierung 1jährig";"";7,8;11;13,09;"";"09.06.2004 13:22:55";19;"300";"";"";0;9,8966;;11,4801;"";"";"G";"N";"";"jährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-30;;"";
"CN-REG";".cn Registrierung 1 Jahr";"";27,1;48;57,12;"";"09.06.2004 13:20:04";19;"300";"";"";0;35;;40,6;"";"";"G";"N";"";"jährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-1;;"";
"US-REG";".us Registrierung";"";8,25;16,25;19,3375;"";"09.06.2004 13:25:31";19;"300";"";"";0;10,4483;;12,12;"";"";"G";"N";"";"jährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-1;;"";
"MX-10";"E-Mail only Hosting MX 10";"";;42,24;50,2656;"";"09.06.2004 13:22:24";19;"310";"";"";0;25,3362;;29,39;"E-Mail only Hosting10 POP3 Konten200 MB Festplattenspeicher";"";"G";"N";"";"jährlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-1;;"";
"REG-RU-V";".ru Registrierung - Verlängerung";"";12,01;12,01;14,2919;"";"09.06.2004 13:24:39";19;"300";"";"";0;12,0086;;13,93;"";"";"G";"N";"";"jährlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";;;"";
"REG-COM";".com Registrierung";"";6,5;11;13,09;"";"09.06.2004 13:23:21";19;"300";"";"";213;;;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-1097;;"";
"REG-AG";".ag Registrierung";"";89;95;113,05;"";"18.09.2006 13:14:54";19;"100";"";"";0;90;;104,4;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"N";
"REG-INF-P2";".info Registrierung 2jährig Promo";"";6,59;9,5;11,305;"";"24.01.2006 12:59:31";19;"300";"";"";0;8;;9,28;"";"";"Z";"N";"";"zweijährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-7;;"N";
"REG-COEE";".co.ee Registrierung";"";;35;41,65;"";"18.09.2006 13:17:04";19;"";"";"";2;30;;34,8;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-4;;"N";
"HOS-F1";"Hostingpauschale";"";0;14;16,66;"";"09.06.2004 13:21:26";19;"310";"";"";8;;;;"Hostingpauschale300 MB Festplattenspeicher200 Postfächer2000 E-Mailweiterleitungenmtl. Transfervolumen 15.000 MBPHP, Perl, SSIPerl Debugger ToolWebbasierte Administrationsoberfläche1 MySQL Datenbank3 Standard-Domains";"";"J";"N";"";"monatlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-78;;"";
"LAS";"Weiterbelastung Rücklastschrift";"";;7,5;8,925;"";"03.09.2004 12:44:20";19;"500";"";"";0;7,5;;8,7;"";"";"E";"N";"";"einmalig";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-9;;"";
"REG-CD";".cd Registrierung Non-Premium";"";23,7;42,7;50,813;"";"09.06.2004 13:23:06";19;"300";"";"";0;35,6983;;41,41;"";"";"G";"N";"";"jährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;"";
"REG-LI";".li Registrierung";"";23,93;23,5;27,965;"";"29.06.2004 12:29:25";19;"300";"";"";0;23,5;;27,26;"";"";"G";"N";"";"jährlich";"";"SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-44;;"";
"SET-LI";".li Einrichtungsgebühr SWITCH";"";27,29;27,29;32,4751;"";"09.06.2004 13:24:59";19;"300";"";"";0;27,29;;31,6564;"";"";"J";"N";"";"monatlich";"";"SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;"";
"DNS-LI";".li Nameservice + Abwicklung";"";0;8;9,52;"";"28.01.2005 11:56:55";19;"300";"";"";0;6;;6,96;"";"";"G";"N";"";"jährlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-4;;"";
"REG-DE3";".de Registrierung 3jährlich";"";;48,75;58,0125;"";"09.06.2004 13:23:41";19;"300";"";"";0;;;;"";"";"E";"N";"";"einmalig";"";"Host Europe GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";;;"";
"HOS-P";"Hostingpauschale";"";;21,5948;25,6978;"";"09.06.2004 13:21:41";19;"310";"";"";23;;;;"";"";"J";"N";"";"monatlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-130;;"";
"PRE-EU";"Vorregistrierung .eu Sunrise 1";"";50;65;77,35;"";"24.11.2005 16:41:34";19;"100";"";"";0;65;;75,4;"";"";"E";"N";"";"einmalig";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-14;;"N";
"REG-COMPT";".com.pt Registrierung";"";17;30;35,7;"";"18.09.2006 13:17:52";19;"100";"";"";2;25;;29;"";"";"G";"N";"";"jährlich";"N";"";"";"";"N";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-4;;"N";
"REG-IDN-CN";"IDN Registrierung .com/.net";"";7,8;21,25;25,2875;"";"09.06.2004 13:23:53";19;"300";"";"";0;14,8966;;17,2801;"Internatinalized Domain Names .com/.net";"";"G";"N";"";"jährlich";"";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-328;;"";
"HOS-A";"Hostingpauschale";"";;4,9;5,831;"";"09.06.2004 13:21:20";19;"310";"";"";0;;;;"";"";"J";"N";"";"monatlich";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-8;;"";
"CNOBI-CH";"CNOBI-Registrierung Abrechnung CHF";"";;25;29,75;"";"09.06.2004 13:20:21";19;"300";"";"";0;;;;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-2;;"";
"HOS-PM";"Persönliche E-Mail";"";;16,45;19,5755;"";"09.06.2004 13:21:46";19;"310";"";"50";0;;;;"";"";"G";"N";"";"jährlich";"N";"";"";"-1";"";"1";"-1";"0";"0";"0";"0";"N";"N";"N";"N";"N";"N";"N";"N";"J";"N";"N";"N";"N";"-1";-3;;"";
"REG-COM-CH";".com Registrierung";"";;17,12;20,3728;"";"22.06.2004 12:45:17";19;"600";"";"";0;17,12;;17,12;"";"";"G";"N";"";"jährlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-21;;"";
"REG-GS1";".gs Registrierung";"";;45,5;54,145;"";"09.06.2004 13:23:47";19;"300";"";"";0;35,5;;41,18;"";"";"G";"N";"";"jährlich";"N";"Key Systems GmbH";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-8;;"";
"POP3";"5 zusätzliche POP3 Postfächer";"";;0,862;1,0258;"";"09.06.2004 13:22:34";19;"310";"";"";0;;;;"";"";"J";"N";"";"monatlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-70;;"";
"MYSQL";"zusätzliche MySQL Datenbank";"";;2;2,38;"";"09.06.2004 13:22:29";19;"310";"";"";59;;;;"";"";"J";"N";"";"monatlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-631;;"";
"FEST";"zusätzlicher Festplattenspeicher 50 MB";"";;1,7241;2,0517;"";"09.06.2004 13:21:01";19;"310";"";"";16;;;;"";"";"J";"N";"";"monatlich";"N";"";"";"";"";"";"";"";"";"";"";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"N";"";-166;;"";
